u,v,weight
AEJAL,IRBKM,3908
AUBRI,CNXIA,69224
BEANT,CNYSN,199927
BEANT,DEBHN,141467
BRIOA,CNNSA,72982
CNDCB,CNHPU,3712
CNDCB,CNNTG,14800
CNDCB,CNSHA,18945
CNGLA,IRBAB,148611
CNHKO,CNFAN,13600
CNJIA,CNWHN,2773
CNLYG,CNQIZ,67041
CNMWN,CNWGQ,13098
CNMWN,MYPKE,51783
CNNBO,CNWGQ,21737
CNNBO,JPNAG,68413
CNNBO,TRISK,13210
CNNSA,CNJIN,63188
CNNSA,CNSHE,89200
CNNSA,HKHKG,165311
CNQIN,HKHKG,69423
CNQIN,JPNAG,13063
CNQIZ,HKHKG,3840
CNRIZ,TWKAO,24328
CNSHE,CNNSA,168919
CNSHE,HKHKG,3730
CNSHE,JPOSK,37160
CNSHE,TWKAO,50632
CNSTO,CNXIA,7468
CNTAI,CNSHA,840
CNWEN,CNNBO,12225
CNWGQ,CNNBO,28697
CNWGQ,KHSSK,24712
CNYSN,HKHKG,111747
CNYTN,CNFOS,1708
CNZHA,HKHKG,3627
CNZSN,CNYTN,5356
CNZSN,HKHKG,1200
DEHAM,PLGDY,9331
DEWVN,SGSGP,52313
DOCUC,TTPLS,8505
EGALE,EGALE,5271
ESALG,ESSCT,12343
ESALG,SGSGP,214121
FIRAU,DEBHN,14230
GBLGP,PTSNS,138377
HKHKG,CNHPU,3210
HKHKG,CNHUM,2352
HKHKG,CNZSN,888
HKHKG,KRBUS,12265
IDJAK,PHBAT,30453
INKAN,CNYSN,87674
INMAG,INMUN,75898
INNSA,INMUN,73993
ITGIT,BGBGS,17250
ITGOA,SGSGP,174239
JOAQA,CNNSA,24376
JPIRI,KRBUS,8516
JPIWA,KRBUS,5800
JPNAG,CNNJG,13282
JPYOK,CNTAI,13238
JPYOK,THLCB,37901
KRBUS,CNYTN,51314
KRBUS,MHMAJ,13760
KRBUS,PABAL,118712
KRGWA,HKHKG,22253
KRULS,KRGWA,13041
LKCOL,INNSA,102396
LKCOL,MYPKE,80102
MATAN,SGSGP,146867
MATAN,SNDAK,50607
MATAN,TGLOM,41801
MYPKE,KRBUS,54285
MYPKE,VNHCM,10600
NLROT,BEANT,13684
NLROT,MYPKE,156256
OMSAL,MATAN,50681
PTSBL,ESVAL,24471
RUBRA,CNNSA,50987
RUNVS,ILHFA,6231
SGSGP,AEJAL,203855
SGSGP,BDCTG,23432
SGSGP,CNTJN,86738
SGSGP,CNWGQ,81594
SGSGP,MYPAG,57830
SGSGP,MYPGG,6918
SGSGP,PKKAR,51648
TCPLS,USPMB,4114
THLCB,CNNSA,36376
TRBAM,TNRDS,11272
TRBAM,TRYAR,146214
TWTCH,HKHKG,22563
TWTCH,TWKAO,37160
USNFK,MYPKE,156304
USNFK,USHOU,61499
USSEA,USOAK,134869
VNHCM,CNMWN,21355
VNHPG,CNSHE,22171
ZADUR,ZACPT,71113
