u,v,weight
AEKHA,INMUN,163449
AUADE,NZTAU,68463
AUBRI,AUMEL,68824
AUMEL,AUBRI,22032
BEANT,CNYSN,228128
BEANT,DOCUC,123509
BEANT,ILASD,99394
BRIJI,SGSGP,63439
BRIJI,UYMON,132586
CMKBI,AOLUA,108574
CNDAL,JPTOK,24700
CNDCB,COBUE,52382
CNDCB,SGSGP,67249
CNDNG,CNTJN,29420
CNGLA,HKHKG,2700
CNGUA,CNGUA,1272
CNHPU,CNHPU,43729
CNHPU,HKHKG,2495
CNNBO,CNNSA,63355
CNNBO,CNSHE,274899
CNNBO,THLCB,42800
CNNSA,CNHPU,2400
CNNSA,CNQIN,87885
CNNSA,SGSGP,50775
CNQIN,CNWGQ,80811
CNSHA,CNHPU,21585
CNSHE,CNNSA,37160
CNSHE,MYPKE,62214
CNSHE,SGSGP,50490
CNWEN,CNJIT,16370
CNWGQ,CNWGQ,1472
CNWGQ,CNZOS,52788
CNWHN,CNYSN,10271
CNXIA,CNNSA,5344
CNXIA,CNSTO,7468
CNXIA,SGSGP,39829
CNYPG,CNHKO,13600
CNYSN,CNCHS,4690
CNYSN,CNTAI,5332
CNYSN,HKHKG,41337
CNYTN,CNNBO,119031
CNZJG,CNHPU,21374
COCTA,USPEV,39418
DEBHN,FRLEH,104652
DEHAM,COCTA,43177
DKAHS,ISREY,25668
EGDAM,TRAAP,13623
ESALG,NLROT,119359
GPPPE,FRDKK,52683
HKHKG,CNGUA,3803
HKHKG,CNNSA,13300
HKHKG,CNZQG,2250
IDKEN,IDBIT,13227
ISREY,USPLD,8168
JPHMA,JPMKX,5848
JPMOJ,JPHIB,10712
JPNAG,JPTOK,98849
JPNAH,JPHKA,2220
JPOSK,CNZOS,13844
JPTOK,CNZOS,13273
JPYOK,TWKEE,13281
KRBUS,JMKIN,161070
KRBUS,MXESE,83431
KRBUS,USCHA,141231
KRGWA,CNWGQ,33380
LKCOL,INKKT,10744
LTKLJ,DEBHN,22229
MACAS,MATAN,42806
MATAN,NLROT,116933
MXMAN,GTPQL,30235
MYPKE,IDJAK,34515
MYPKE,INMUN,62997
MYTPP,PTSNS,272347
NLROT,BEANT,80578
NLROT,SEGOT,6832
OMSOH,SGSGP,160927
PACRI,CNQIN,126053
PAMIT,USMIA,23664
PHMAN,CNTJN,12597
PLGDA,DEBHN,17791
ROCON,GRTHE,19309
RUNVS,EGALE,8524
RUSPG,CNNSA,33662
SAJUB,OMSAL,62603
SGSGP,CNNSA,52084
SGSGP,GRPIR,157375
SGSGP,LKCOL,144571
SGSGP,VNHPG,23415
THLCB,HKHKG,22253
TRALI,TRMER,34943
TRTEK,TRALI,68254
TWTAP,TWKAO,22177
USBAL,MYPKE,153520
USCHA,GBSOU,104652
USESX,USWMT,41780
USNFK,COCTA,145520
USNFK,USNYK,81643
USPEV,JMKIN,34324
USSEA,TWKAO,66940
USWMT,USNFK,142051
VNCMP,KRBUS,190668
VNHPG,CNNBO,12601
