u,v,weight
BEANT,INMUN,174897
BRSTS,ARBNA,71283
CLPAR,CLSVE,8350
CNFAN,CNSHA,5023
CNFOS,HKHKG,2016
CNHKO,CNFAN,13600
CNHKO,CNNBO,25697
CNHPU,HKHKG,2352
CNMWN,MYTPP,13809
CNNBO,CNSHE,54117
CNNBO,CNYSN,111889
CNNBO,PHMAN,40100
CNNBO,VNCMP,201064
CNNSA,CNNBO,63195
CNNSA,CNSHE,149145
CNNSA,CNTJN,83202
CNNSA,HKHKG,24251
CNNSA,IDJAK,21191
CNNSA,MYTPP,37621
CNQIN,CNBYQ,23795
CNSHE,SGSGP,222676
CNSTO,CNSHE,37151
CNWGQ,CNLVS,10210
CNWGQ,CNTAI,1280
CNXIA,THLCB,37763
CNYPG,CNNSA,52160
CNYSN,CNTAI,17205
CNYSN,CNWGQ,4244
CNYSN,CNYTN,255288
CNZHA,CNXIA,22595
DEBRU,PLSZC,11007
DEHAM,BEANT,50813
DEHAM,DKFRE,11390
DEHAM,PLGDY,17316
ESBAR,TRMER,50300
HKHKG,CNWGQ,12467
HKHKG,CNXIA,3997
IDSAM,IDSUR,8488
INKAN,INCOC,28632
INMUN,INNSA,34347
INMUN,RUSPG,21000
JMKIN,CUMAR,11768
JPKOB,CNDAL,11179
JPKOB,KRBUS,22563
JPMOJ,CNWGQ,9157
JPNAG,JPKAW,1830
JPTOK,JPNAG,13249
JPYOK,JPNAG,21957
KEMOM,MYPKE,39384
KRBUS,JPMKX,12383
KRBUS,KRGWA,255288
KRBUS,PABAL,110387
KRBUS,USHOU,99518
KRGWA,CNTJN,12839
MATAN,DEHAM,178257
MUPLO,AUSYD,123586
MXPRO,COCTA,34194
MYPAG,HKHKG,35360
MYPKE,CNXIA,37540
MYPKE,INNSA,86419
NLROT,MYPKE,199692
PABAL,CNNBO,44132
PACOL,PEPTA,64513
PHBAT,CNSHE,24124
PHSFS,CNNSA,66971
RUSPG,CNQIN,50987
SAJED,CNQIN,24597
SGSGP,CNTJN,232606
SGSGP,CNZOS,51755
SGSGP,IDJAK,25985
SGSGP,KEMOM,51755
SGSGP,TZDRS,39276
TRBAM,ROCON,17145
TTPLS,SRPBO,22291
TWKAO,CNNBO,229348
TWKAO,VNHCM,22377
USLSA,USOAK,104525
USNOL,SGSGP,105111
USOAK,CNQIN,36776
USPHI,FRLEH,26947
USSAV,CNYSN,144572
USSAV,KRBUS,145527
VNHCM,CNYPG,16567
ZADUR,MGTMA,34347
