u,v,weight
AEJAL,CNQIN,35000
BEANT,SGSGP,136899
CNBYQ,CNFUZ,14055
CNDAL,CNNBO,69024
CNDNG,CNHPU,1328
CNDNG,CNXIA,35167
CNFOS,CNFOS,2720
CNFOS,CNYTN,1320
CNHPU,CNHUI,3334
CNJMN,CNYTN,3504
CNMWN,AEJAL,74576
CNMWN,SGSGP,106957
CNNBO,CNMWN,24306
CNNBO,CNNSA,87574
CNNBO,MXMAN,103668
CNNDE,CNFOS,6713
CNNSA,CNWGQ,52068
CNNSA,MYPKE,66818
CNNSA,YEADN,34890
CNSHA,CNSHA,600
CNSHA,CNTAI,2975
CNSHE,CNNBO,71665
CNSHE,HKHKG,2400
CNSHE,SGSGP,50632
CNSHE,VNDAN,37160
CNTZH,CNNBO,3340
CNWGQ,CNNBO,157916
CNWGQ,CNNSA,13272
CNWGQ,CNZOS,143553
CNXIA,CNBAO,9409
CNYSN,CNHEF,1608
CNYSN,CNWGQ,4305
CNYTN,CNFOS,2000
CNYTN,CNHPU,2700
CNYTN,USLSA,79443
CNZOS,CNHPU,21672
CNZOS,SGSGP,52190
COCTA,BEANT,35013
DEHAM,BEANT,123509
DEHAM,DEBHN,14483
DOCUC,PRSJU,21236
DZBJA,TRALI,17094
ESALG,MTMAL,8248
ESALG,PTLIS,11403
ESALG,USNYK,85664
ESSCT,ESCAD,11274
ESVAL,ESCAD,10750
ESVAL,MACAS,28632
FIKOT,BEANT,22308
FRFOS,AEKHA,109021
GEPTI,TRYAR,11983
HKHKG,CNFOS,3070
HKHKG,CNZHA,1708
HKHKG,SGSGP,134931
IDJAK,MYPKE,32963
INNSA,INMUN,132389
ITGIT,DZSKI,24454
ITGIT,SGSGP,255288
JPMJR,CNTJN,11324
JPNAG,JPMOJ,24251
JPNTA,CNDAL,13711
JPSBI,JPNAH,12454
JPSZU,KRULS,11799
KRBUS,CNNBO,11357
LKCOL,ESVAL,72447
MATAN,SGSGP,171899
MATAN,TGLOM,45651
MYTPP,EGPSA,148723
NGONN,ESVAL,41956
NLROT,IEDUB,11052
NLROT,MYPKE,104652
NLROT,OMSAL,229348
PHCDO,CNSHE,24500
PHCDO,CNWGQ,12621
PHDAV,PHMAN,24754
PHGSA,SGSGP,27502
PHMAN,HKHKG,40497
PKKAR,AEJAL,34554
RUNVS,TRALI,23512
SGSGP,AEJAL,144572
SGSGP,BRSTS,132791
SGSGP,CNNSA,29553
SGSGP,EGAKI,186650
SGSGP,VNQUN,31095
SNDAK,NGLAG,26082
TRDER,TRBAM,29500
TRGEB,RUNVS,7000
TRISK,PKKAR,23229
TWTCH,VNHCM,34325
USPMB,VILIB,20294
VNHPG,SGSGP,56889
