u,v,weight
AEJAL,LKCOL,37160
AEJAL,SGSGP,41754
BEANT,ESALG,220766
BEANT,GRPIR,67194
BJCOT,SGSGP,70461
BRRGR,BRIJI,74526
CAHFX,JMKIN,17152
CAPRR,CNTJN,111315
CAVCR,JPYOK,145274
CNDCB,CNSHA,24431
CNFUN,CNNSA,62997
CNJMN,CNFAN,5000
CNLYG,CNHPU,18318
CNMWN,INNSA,65155
CNNBO,CNNSA,122741
CNNJG,RUSPG,33715
CNNSA,CNJIT,50977
CNNSA,MYPKE,35728
CNNTG,CNQUA,21516
CNQIN,CNDCB,43093
CNQIN,CNNBO,43719
CNQIZ,MYTPP,21742
CNSHA,CNDCB,25706
CNSHE,BDCTG,21737
CNSHE,HKHKG,3920
CNSHE,MYPKE,82464
CNTJN,CNQIN,33742
CNWGQ,CNNBO,47044
CNWGQ,CNNSA,26548
CNWGQ,CNZOS,28293
CNWGQ,USLSA,32949
CNWHN,CNYSN,7195
CNXIA,CNNSA,56526
CNXIA,JPYOK,25238
CNYAN,CNWEF,6465
CNYTN,CNNSA,38341
CNZHA,CNYPG,4000
CNZOS,CNWEN,7336
DEHAM,SGSGP,103310
ECPSJ,DOCUC,123490
EGALE,CNQIN,26945
ESALG,AEKHA,131304
ESALG,SAJED,42285
ESSCT,ESVAL,10750
ESVAL,SGSGP,198937
ESVIG,MATAN,23732
FRSNA,BEANT,29553
GRPIR,PTSNS,50953
HKHKG,CNSHE,3140
HKHKG,KHSSK,21785
HKHKG,VNHPG,12467
IDMKS,IDBIT,12288
IDPNK,IDJAK,6326
IDSAM,IDJAK,8374
INNSA,IRBAB,29870
INNSA,LKCOL,66727
JPKOB,CNWEI,9294
JPKOB,CNWGQ,11064
JPKOB,CNZPU,12829
JPKOB,JPIMA,1450
JPMIZ,JPSBI,13714
KRBUS,JPYOK,9618
KRBUS,USLGB,144162
KRBUS,USLSA,72921
KRBUS,USNYK,146587
LKCOL,BEZEE,254992
LKCOL,GBLGP,128140
LKCOL,INKKT,15332
MYPKE,INNSA,38733
MYTPP,AEKHA,174009
MYTPP,CNDAL,54327
MYTPP,TGLOM,63696
PGPMO,PGLAE,25775
PHCDO,CNWGQ,23077
PLGDY,GBTIL,13965
RUSPG,BRPAR,19309
RUSPG,CNYTN,41800
RUVLD,CNTJN,13727
SAJED,AEJAL,35376
SAKAP,EGDAM,132035
SEGOT,DEBHN,14292
SGSGP,CIABI,62890
SGSGP,ESVAL,155470
SGSGP,GBSOU,160927
SGSGP,MMRGN,20351
SGSGP,NLROT,90678
THLCB,SGSGP,63216
TWKAO,CNMWN,22027
TWKAO,CNSHE,42011
USBAL,LKCOL,113072
USCHA,SGSGP,81593
USHOU,USNOL,126073
USPEV,HNPCO,28186
USPMB,DOCUC,13715
USTAC,USANC,20668
USWMN,GTPBA,37901
