u,v,weight
AEJAL,THLCB,41754
ARZAR,BRSTS,28123
BDCTG,CNYPG,23464
BEANT,DOCUC,109832
CNDAL,KRBUS,22344
CNDCB,CNSYA,1680
CNFUN,CNNSA,63143
CNNBO,AEJAL,10005
CNNBO,CNMWN,50580
CNNBO,CNNSA,84407
CNNBO,CNSHE,18053
CNNBO,CNYSN,119278
CNNBO,HKHKG,132672
CNNSA,CNQHD,35904
CNNSA,CNQIN,46935
CNNSA,CNYTN,56708
CNNTG,CNDAL,21444
CNQIN,CNTJN,99066
CNQIN,CNWGQ,24516
CNQIN,CNYAN,10325
CNQIZ,HKHKG,3809
CNSAX,CNTAI,5072
CNSHE,CNXIA,23780
CNSHE,JPOSK,25250
CNSTO,CNNSA,11936
CNTAZ,CNYSN,8564
CNTJN,CNQIN,122405
CNTJN,KRINC,10800
CNWGQ,CNYSN,4220
CNWGQ,USLGB,44200
CNXIA,KRBUS,81855
CNXIA,MYTPP,73235
CNYPG,CNDCB,11487
CNYSN,CNSZH,1446
CNYSN,CNYSN,1625
CNYTN,USLSA,90373
CNZHA,CNXIA,12899
COCTA,BEANT,37025
DJDJI,AEKHA,34144
DZWAH,PTSNS,13781
EGPSA,SGSGP,119293
EGSOK,JOAQA,20979
FIKOT,NLROT,13684
GBBEL,BEANT,11174
GBSOU,DEBHN,72912
HKHKG,CNGUA,1232
HKHKG,CNQIZ,3809
HKHKG,CNYTN,37511
HKHKG,TWKEE,37621
IDBAH,CNWHN,9571
IDBLN,MYPKE,6138
IDMAN,IDAMI,14600
IECOK,BEANT,9167
IEDUB,NLROT,11180
ILHFA,SIKOP,12545
INCHN,VNHPG,36776
INMUN,MYPKE,30234
INTUT,INNSA,39008
ITSAL,LBBRT,24471
JPHKA,JPNAH,2114
JPKOB,JPHMA,1827
JPKOB,JPMOJ,12991
JPKOB,TWKEE,22027
JPNAG,JPKOB,8853
JPNAG,JPYOK,12574
JPOSK,CNQIN,11817
JPOSK,JPHMA,3911
JPSBI,JPOIT,18181
JPYOK,KRBUS,155802
KRBUS,CNYSN,190668
KRBUS,COCTA,119182
KRBUS,HKHKG,21860
KRBUS,JMKIN,160978
KRBUS,JPTOK,12442
KRBUS,PACRI,110387
LTKLJ,GBHUL,11051
MRNOU,GMBJL,13760
MYPKE,BDCTG,37621
MYPKE,INCHN,37160
NLROT,DEBRU,20646
NZLYT,NZMPT,23305
RUNVS,TRBAM,23476
SADMA,SGSGP,187625
SGSGP,BNMUR,13007
SGSGP,GHTEM,86619
SGSGP,IDSUR,13970
SGSGP,KEMOM,46305
SGSGP,NLROT,197902
SGSGP,PHMAN,74323
SGSGP,ZADUR,52190
TRGEB,TRBAM,23312
TRYAR,EGPSA,13702
TWKAO,CNFUN,11500
TWKAO,CNNSA,36972
TWKAO,CNSHE,37435
USGUL,USTAM,28750
USLSA,CNNBO,119278
USSAV,TRMER,26811
VNCHL,KRBUS,22081
VNCMP,VNHPG,81664
VNHCM,CNTAI,24259
VNHPG,VNCMP,12474
ZADUR,ZACPT,93423
